run_dir,collection,run_name,year,month,title,observable,time_range,input,n_profiles,n_stable,stable_fraction,mean_c2,mean_c3,mean_shape_ratio,median_ustar,c1_c3_corr,c1_c3_slope,c1_mean,c3_mean,c1_skew,c3_skew,rib_available,rib_window_count,rib_laminar_fraction
varrio/dct/2020_03,varrio/dct,2020_03,2020,3,DCT-SMEAR Results,,2020-03-01T00:00:00 to 2020-04-01T00:00:00,,1455.0,99.0,0.06804123711340206,0.02872012839791263,-0.055037834329041,0.6967699933448662,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
varrio/dct/2020_11,varrio/dct,2020_11,2020,11,DCT-SMEAR Results,,2020-11-01T00:00:00 to 2020-12-01T00:00:00,,1435.0,12.0,0.008362369337979094,-0.058950088422662424,0.002864466236204121,3.3055273769614906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
varrio/dct/2020_12,varrio/dct,2020_12,2020,12,DCT-SMEAR Results,,2020-12-01T00:00:00 to 2021-01-01T00:00:00,,1488.0,140.0,0.09408602150537634,-0.029320875952948963,0.016661323964451878,1.3631134634891564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
varrio/dct/2021_01,varrio/dct,2021_01,2021,1,DCT-SMEAR Results,,2021-01-01T00:00:00 to 2021-02-01T00:00:00,,1488.0,228.0,0.1532258064516129,0.04914087863946895,0.020788006114378376,2.65597800946164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
varrio/dct/2021_02,varrio/dct,2021_02,2021,2,DCT-SMEAR Results,,2021-02-01T00:00:00 to 2021-03-01T00:00:00,,1332.0,159.0,0.11936936936936937,0.03515703754584359,0.01877115169135515,1.1792851488506073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
varrio/dct/2021_03,varrio/dct,2021_03,2021,3,DCT-SMEAR Results,,2021-03-01T00:00:00 to 2021-04-01T00:00:00,,1363.0,99.0,0.07263389581804842,0.01011460875475616,-0.039081277465118226,0.9379430210554719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
varrio/dct/2021_11,varrio/dct,2021_11,2021,11,DCT-SMEAR Results,,2021-11-01T00:00:00 to 2021-12-01T00:00:00,,1438.0,189.0,0.13143254520166897,0.053812051911958536,-0.018495131335378088,0.82065102416749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
varrio/dct/2021_12,varrio/dct,2021_12,2021,12,DCT-SMEAR Results,,2021-12-01T00:00:00 to 2022-01-01T00:00:00,,1488.0,171.0,0.11491935483870967,0.09709684702371232,-0.017866653895237984,0.6770183135075406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
varrio/dct/2022_01,varrio/dct,2022_01,2022,1,DCT-SMEAR Results,,2022-01-01T00:00:00 to 2022-02-01T00:00:00,,1488.0,186.0,0.125,0.060454561285037005,-0.00864152014449012,0.7237601402415037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
varrio/dct/2022_02,varrio/dct,2022_02,2022,2,DCT-SMEAR Results,,2022-02-01T00:00:00 to 2022-03-01T00:00:00,,1344.0,77.0,0.057291666666666664,0.057240671598854855,-0.019320191765238897,0.6590686273835332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
varrio/dct/2022_03,varrio/dct,2022_03,2022,3,DCT-SMEAR Results,,2022-03-01T00:00:00 to 2022-04-01T00:00:00,,1488.0,79.0,0.05309139784946237,-0.00922557359831427,-0.05048107314965277,1.1278383024688738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
varrio/dct/2022_11,varrio/dct,2022_11,2022,11,DCT-SMEAR Results,,2022-11-01T00:00:00 to 2022-12-01T00:00:00,,1440.0,134.0,0.09305555555555556,0.023640629622455334,-0.002520835167076511,0.6521156734306429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
varrio/dct/2022_12,varrio/dct,2022_12,2022,12,DCT-SMEAR Results,,2022-12-01T00:00:00 to 2023-01-01T00:00:00,,1487.0,92.0,0.06186953597848016,-0.017301569725257787,0.02066874991196622,1.1735682221631818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
varrio/dct/2023_01,varrio/dct,2023_01,2023,1,DCT-SMEAR Results,,2023-01-01T00:00:00 to 2023-02-01T00:00:00,,1488.0,45.0,0.03024193548387097,-0.06913024971491158,0.026534119153333972,0.7735536780500955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
varrio/dct/2023_02,varrio/dct,2023_02,2023,2,DCT-SMEAR Results,,2023-02-01T00:00:00 to 2023-03-01T00:00:00,,1344.0,96.0,0.07142857142857142,0.018253083302768012,-0.0026369095192070218,2.0513686739983634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
varrio/dct/2023_03,varrio/dct,2023_03,2023,3,DCT-SMEAR Results,,2023-03-01T00:00:00 to 2023-04-01T00:00:00,,1488.0,241.0,0.16196236559139784,0.054227914302388026,-0.048246842825343965,0.6202535434232236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
varrio/dct/2023_11,varrio/dct,2023_11,2023,11,DCT-SMEAR Results,,2023-11-01T00:00:00 to 2023-12-01T00:00:00,,1440.0,243.0,0.16875,0.06915435790934614,0.0001898312205930354,0.869717767281802,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
varrio/dct/2023_12,varrio/dct,2023_12,2023,12,DCT-SMEAR Results,,2023-12-01T00:00:00 to 2024-01-01T00:00:00,,1488.0,205.0,0.13776881720430106,0.014153512035451008,0.01998733555713652,1.7633759245628142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
varrio/dct/2024_01,varrio/dct,2024_01,2024,1,DCT-SMEAR Results,,2024-01-01T00:00:00 to 2024-02-01T00:00:00,,1439.0,197.0,0.1369006254343294,0.04583997954169642,0.02853046280920402,3.305712126477153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
varrio/dct/2024_02,varrio/dct,2024_02,2024,2,DCT-SMEAR Results,,2024-02-01T00:00:00 to 2024-03-01T00:00:00,,1392.0,128.0,0.09195402298850575,0.045652350727962726,0.0029317615876882194,1.9330917285217004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
varrio/dct/2024_03,varrio/dct,2024_03,2024,3,DCT-SMEAR Results,,2024-03-01T00:00:00 to 2024-04-01T00:00:00,,1488.0,66.0,0.04435483870967742,-0.058428190835111186,-0.016674322014493988,3.141786593043813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
varrio/dct/2024_11,varrio/dct,2024_11,2024,11,DCT-SMEAR Results,,2024-11-01T00:00:00 to 2024-12-01T00:00:00,,1439.0,51.0,0.035441278665740095,0.02736368886850183,-0.009902321986109857,1.557130231215408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
varrio/dct/2024_12,varrio/dct,2024_12,2024,12,DCT-SMEAR Results,,2024-12-01T00:00:00 to 2025-01-01T00:00:00,,1488.0,155.0,0.10416666666666667,0.12036591294472017,-0.013648337502926471,2.3919897913820685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
varrio/dct/2025_01,varrio/dct,2025_01,2025,1,DCT-SMEAR Results,,2025-01-01T00:00:00 to 2025-02-01T00:00:00,,1488.0,237.0,0.1592741935483871,0.12872271991165604,0.003445546301656767,0.8854742618438253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
varrio/dct/2025_02,varrio/dct,2025_02,2025,2,DCT-SMEAR Results,,2025-02-01T00:00:00 to 2025-03-01T00:00:00,,1344.0,45.0,0.033482142857142856,0.007491416165262997,0.002612275949340391,0.8218895581162626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
varrio/dct/2025_03,varrio/dct,2025_03,2025,3,DCT-SMEAR Results,,2025-03-01T00:00:00 to 2025-04-01T00:00:00,,172.0,4.0,0.023255813953488372,-0.09109822632399976,-0.00039186659380844853,0.8937832471892121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
varrio/dct/2025_11,varrio/dct,2025_11,2025,11,DCT-SMEAR Results,,2025-11-01T00:00:00 to 2025-12-01T00:00:00,,1440.0,0.0,0.0,0.02559041005947898,0.0065630877037532575,1.6825451714834723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
varrio/dct/2025_12,varrio/dct,2025_12,2025,12,DCT-SMEAR Results,,2025-12-01T00:00:00 to 2026-01-01T00:00:00,,1488.0,0.0,0.0,0.027163506268362236,0.008239119551034603,1.116001858638611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
