time,zeta,u_star,L,Ri_g,regime,neutral_transition,phi_m,phi_h,phi_q1,phi_q2,phi_obs
2600,0.0031204538418144203,0.68745,5319.739,0.028005787140687074,near_neutral,false,2.6326295245714832,62.20274004319801,0.2471125581520313,8.808531831147771,2.6326295245714832
2602,0.007366639418976286,0.69812,2253.402,0.033353490475461725,near_neutral,false,2.4154964603347406,26.41707250614919,0.22183186234365676,9.831811476494245,2.4154964603347406
2605,0.03402357464792774,0.6222,487.897,0.05620741668407896,near_neutral,false,2.516642469373906,10.463012099158288,0.2609671992297018,57.191427494590464,2.516642469373906
2606,0.006697415604494208,0.55902,2478.568,0.047010270740014626,near_neutral,false,2.3904662524497238,40.10982216767591,0.17402015873215845,5.689261223670577,2.3904662524497238
2607,0.005479741461836572,0.49489,3029.34,0.08516154779742742,near_neutral,false,2.6967112781515983,113.01923942322603,-1.2847101886374006,39.29641277827851,2.6967112781515983
2611,0.018937898751148253,0.64515,876.5492,0.047315776320313474,near_neutral,false,2.1627372617909697,11.686425780725541,0.2073699296616198,5.597458128394577,2.1627372617909697
2634,0.004881721189022597,0.73726,3400.44,0.03341297909277703,near_neutral,false,2.337909511795929,37.41085406057189,0.49180623722426725,-684.4803697808691,2.337909511795929
2635,0.022378732546779304,0.57549,741.7757,0.07074932630669821,near_neutral,false,2.358317839290576,17.58294004246311,0.30260154559265673,-23.14471415998232,2.358317839290576
2636,0.045223906010556786,0.42905,367.0625,0.12258110962951516,near_neutral,false,2.8373191417731682,21.820859577126196,0.6829874263375522,-29.050030563603556,2.8373191417731682
2637,0.04040966638168926,0.53919,410.7928,0.12031262128890806,near_neutral,false,2.3995753918944263,17.14331175971439,-2.67076072958455,-8.324786985811597,2.3995753918944263
2638,0.047949425487892626,0.50627,346.1981,0.12889347478470037,near_neutral,false,2.5856359035472947,17.971414585980593,4.151011754247404,-8.065764071553817,2.5856359035472947
2639,0.04218305974061484,0.55378,393.5229,0.0901034734268019,near_neutral,false,2.775676060689965,16.456634157633054,6.980257082822165,-6.76103728098456,2.775676060689965
